+--------------+---------------+--------------------+
|     city     | origin_count  | destination_count  |
+--------------+---------------+--------------------+
| ALBACETE     | 45027         | 45050              |
| ALICANTE     | 26961         | 28273              |
| BARCELONA    | 344339        | 360139             |
| CADIZ        | 1149          | 1019               |
| CASTELLO     | 725           | 1640               |
| CASTELLON    | 16638         | 16299              |
| CIUDAD REAL  | 2545          | 2514               |
| CORDOBA      | 108515        | 105092             |
| CUENCA       | 1938          | 1844               |
| CÓRDOBA      | 6282          | 6581               |
| GIRONA       | 30222         | 28699              |
| GRANADA      | 11972         | 12197              |
| GUADALAJARA  | 1283          | 1227               |
| HUESCA       | 558           | 370                |
| LEON         | 24106         | 19277              |
| LEÓN         | 2270          | 2344               |
| LLEIDA       | 37112         | 32076              |
| MADRID       | 1532991       | 1543448            |
| MALAGA       | 41711         | 42172              |
| MÁLAGA       | 2231          | 2426               |
| PALENCIA     | 2202          | 2306               |
| PONFERRADA   | 67977         | 40300              |
| SEGOVIA      | 3609          | 3323               |
| SEVILLA      | 283801        | 283722             |
| TARRAGONA    | 46318         | 44120              |
| TOLEDO       | 1456          | 1434               |
| VALENCIA     | 260688        | 274802             |
| VALLADOLID   | 93511         | 97636              |
| ZAMORA       | 639           | 620                |
| ZARAGOZA     | 101469        | 99295              |
+--------------+---------------+--------------------+
