+--------------------------+----------+
|           fare           |  count   |
+--------------------------+----------+
| Promo                    | 1311642  |
| Flexible                 | 700281   |
| Standard                 | 643446   |
| Adulto ida               | 211943   |
| Promo +                  | 204896   |
| YOVOY                    | 20246    |
| Básica                   | 7166     |
| COD.PROMOCIONAL          | 545      |
| Individual-Flexible      | 34       |
| Doble Familiar-Flexible  | 21       |
| Mesa                     | 20       |
| Grupos Ida               | 5        |
+--------------------------+----------+
