+---------------------------+---------------------+
|       vehicle_class       |      avg_price      |
+---------------------------+---------------------+
| Cama G. Clase             | 110.67090909090908  |
| TuristaSólo plaza H       | 82.84135322323446   |
| PreferenteSólo plaza H    | 78.97748194945818   |
| Turista Plus              | 77.58996150785134   |
| Preferente                | 74.54182336127961   |
| Turista PlusSólo plaza H  | 71.35               |
| Cama Turista              | 70.01295097132166   |
| Unknown                   | 58.576091734328095  |
| Turista                   | 56.281373889937626  |
| Turista - Turista Plus    | 50.931521739130424  |
| Turista con enlace        | 50.31617658944573   |
| Turista Plus - Turista    | 42.18142076502736   |
+---------------------------+---------------------+
