+--------------+--------------+
| ticket_date  | daily_count  |
+--------------+--------------+
| 2019-04-12   | 286          |
| 2019-04-13   | 393          |
| 2019-04-14   | 795          |
| 2019-04-15   | 1466         |
| 2019-04-16   | 2036         |
| 2019-04-17   | 2773         |
| 2019-04-18   | 2776         |
| 2019-04-19   | 2559         |
| 2019-04-20   | 2815         |
| 2019-04-21   | 4210         |
| 2019-04-22   | 5093         |
| 2019-04-23   | 6098         |
| 2019-04-24   | 6377         |
| 2019-04-25   | 6814         |
| 2019-04-26   | 6948         |
| 2019-04-27   | 4867         |
| 2019-04-28   | 6632         |
| 2019-04-29   | 7800         |
| 2019-04-30   | 8324         |
| 2019-05-01   | 6706         |
| 2019-05-02   | 7265         |
| 2019-05-03   | 8183         |
| 2019-05-04   | 6285         |
| 2019-05-05   | 8357         |
| 2019-05-06   | 10005        |
| 2019-05-07   | 9623         |
| 2019-05-08   | 10032        |
| 2019-05-09   | 10849        |
| 2019-05-10   | 10708        |
| 2019-05-11   | 7492         |
| 2019-05-12   | 9908         |
| 2019-05-13   | 11791        |
| 2019-05-14   | 11905        |
| 2019-05-15   | 10708        |
| 2019-05-16   | 12839        |
| 2019-05-17   | 12555        |
| 2019-05-18   | 8692         |
| 2019-05-19   | 11726        |
| 2019-05-20   | 13492        |
| 2019-05-21   | 13909        |
| 2019-05-22   | 14053        |
| 2019-05-23   | 14558        |
| 2019-05-24   | 14278        |
| 2019-05-25   | 9759         |
| 2019-05-26   | 13206        |
| 2019-05-27   | 15342        |
| 2019-05-28   | 15366        |
| 2019-05-29   | 15982        |
| 2019-05-30   | 16411        |
| 2019-05-31   | 16215        |
| 2019-06-01   | 10971        |
| 2019-06-02   | 14608        |
| 2019-06-03   | 7693         |
| 2019-06-04   | 7771         |
| 2019-06-05   | 8021         |
| 2019-06-06   | 8791         |
| 2019-06-07   | 8722         |
| 2019-06-08   | 5994         |
| 2019-06-09   | 7955         |
| 2019-06-10   | 9111         |
| 2019-06-11   | 9848         |
| 2019-06-12   | 10117        |
| 2019-06-13   | 10525        |
| 2019-06-14   | 10688        |
| 2019-06-15   | 7069         |
| 2019-06-16   | 9564         |
| 2019-06-17   | 11358        |
| 2019-06-18   | 11434        |
| 2019-06-19   | 12025        |
| 2019-06-20   | 12180        |
| 2019-06-21   | 12265        |
| 2019-06-22   | 8409         |
| 2019-06-23   | 10957        |
| 2019-06-24   | 12008        |
| 2019-06-25   | 12868        |
| 2019-06-26   | 12797        |
| 2019-06-27   | 12961        |
| 2019-06-28   | 12614        |
| 2019-06-29   | 8281         |
| 2019-06-30   | 10854        |
| 2019-07-01   | 12646        |
| 2019-07-02   | 12381        |
| 2019-07-03   | 12826        |
| 2019-07-04   | 13021        |
| 2019-07-05   | 12382        |
| 2019-07-06   | 8207         |
| 2019-07-07   | 10245        |
| 2019-07-08   | 11970        |
| 2019-07-09   | 11900        |
| 2019-07-10   | 11489        |
| 2019-07-11   | 11429        |
| 2019-07-12   | 10832        |
| 2019-07-13   | 6985         |
| 2019-07-14   | 8780         |
| 2019-07-15   | 9786         |
| 2019-07-16   | 9531         |
| 2019-07-17   | 9105         |
| 2019-07-18   | 8952         |
| 2019-07-19   | 8428         |
| 2019-07-20   | 5834         |
+--------------+--------------+
| ticket_date  | daily_count  |
+--------------+--------------+
| 2019-07-21   | 7187         |
| 2019-07-22   | 5850         |
| 2019-07-23   | 5691         |
| 2019-07-24   | 5305         |
| 2019-07-25   | 5263         |
| 2019-07-26   | 5245         |
| 2019-07-27   | 3699         |
| 2019-07-28   | 4474         |
| 2019-07-29   | 4554         |
| 2019-07-30   | 4669         |
| 2019-07-31   | 4542         |
| 2019-08-01   | 4829         |
| 2019-08-02   | 4778         |
| 2019-08-03   | 3743         |
| 2019-08-04   | 4512         |
| 2019-08-05   | 4770         |
| 2019-08-06   | 4551         |
| 2019-08-07   | 4489         |
| 2019-08-08   | 4257         |
| 2019-08-09   | 4094         |
| 2019-08-10   | 3027         |
| 2019-08-11   | 3366         |
| 2019-08-12   | 3595         |
| 2019-08-13   | 3325         |
| 2019-08-14   | 3152         |
| 2019-08-15   | 3121         |
| 2019-08-16   | 3272         |
| 2019-08-17   | 2542         |
| 2019-08-18   | 3037         |
| 2019-08-19   | 3328         |
| 2019-08-20   | 3360         |
| 2019-08-21   | 3273         |
| 2019-08-22   | 3420         |
| 2019-08-23   | 3477         |
| 2019-08-24   | 2614         |
| 2019-08-25   | 3249         |
| 2019-08-26   | 3501         |
| 2019-08-27   | 3522         |
| 2019-08-28   | 3645         |
| 2019-08-29   | 3680         |
| 2019-08-30   | 3729         |
| 2019-08-31   | 2598         |
| 2019-09-01   | 3530         |
| 2019-09-02   | 3781         |
| 2019-09-03   | 3905         |
| 2019-09-04   | 3771         |
| 2019-09-05   | 3882         |
| 2019-09-06   | 3772         |
| 2019-09-07   | 2721         |
| 2019-09-08   | 3410         |
| 2019-09-09   | 3911         |
| 2019-09-10   | 4195         |
| 2019-09-11   | 4035         |
| 2019-09-12   | 4436         |
| 2019-09-13   | 4312         |
| 2019-09-14   | 2662         |
| 2019-09-15   | 3600         |
| 2019-09-16   | 2006         |
| 2019-09-17   | 2007         |
| 2019-09-18   | 1928         |
| 2019-09-19   | 2114         |
| 2019-09-20   | 2023         |
| 2019-09-21   | 1256         |
| 2019-09-22   | 1735         |
| 2019-09-23   | 1885         |
| 2019-09-24   | 1897         |
| 2019-09-25   | 1929         |
| 2019-09-26   | 2021         |
| 2019-09-27   | 2026         |
| 2019-09-28   | 1219         |
| 2019-09-29   | 1601         |
| 2019-09-30   | 1820         |
| 2019-10-01   | 1615         |
| 2019-10-02   | 1672         |
| 2019-10-03   | 1690         |
| 2019-10-04   | 1536         |
| 2019-10-05   | 978          |
